GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Providence Utils : JavaX WS RESTful compatibility,net.morimekta.providence.jax.rs,ProvidenceMessageBodyWriter,34,27,0,4,9,9,2,4,2,2
Providence Utils : JavaX WS RESTful compatibility,net.morimekta.providence.jax.rs,DefaultProvidenceMessageBodyWriter,0,6,0,0,0,2,0,1,0,1
Providence Utils : JavaX WS RESTful compatibility,net.morimekta.providence.jax.rs,DefaultProvidenceMessageBodyReader,0,6,0,0,0,2,0,1,0,1
Providence Utils : JavaX WS RESTful compatibility,net.morimekta.providence.jax.rs,ProvidenceMessageBodyReader,45,49,4,8,11,15,5,6,2,3
