GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Providence Utils : JavaX WS RESTful compatibility,net.morimekta.providence.jax.rs,ProvidenceMessageBodyWriter,28,33,2,2,8,10,3,3,1,3
Providence Utils : JavaX WS RESTful compatibility,net.morimekta.providence.jax.rs,DefaultProvidenceMessageBodyWriter,0,6,0,0,0,2,0,1,0,1
Providence Utils : JavaX WS RESTful compatibility,net.morimekta.providence.jax.rs,DefaultProvidenceMessageBodyReader,0,6,0,0,0,2,0,1,0,1
Providence Utils : JavaX WS RESTful compatibility,net.morimekta.providence.jax.rs,ProvidenceMessageBodyReader,31,63,6,6,9,17,6,5,0,5
