GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Providence Core : Jackson,net.morimekta.providence.jackson,BinaryDeserializer,0,8,0,0,0,3,0,2,0,2
Providence Core : Jackson,net.morimekta.providence.jackson,BinarySerializer,0,9,0,0,0,4,0,2,0,2
Providence Core : Jackson,net.morimekta.providence.jackson,ProvidenceModule,3,38,0,0,1,7,1,1,1,1
Providence Core : Jackson,net.morimekta.providence.jackson,BinaryKeySerializer,0,9,0,0,0,4,0,2,0,2
Providence Core : Jackson,net.morimekta.providence.jackson,BinaryKeyDeserializer,0,6,0,0,0,3,0,2,0,2
