GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Providence Generator : Common,net.morimekta.providence.generator.util,FactoryLoader,51,111,4,8,7,23,5,7,1,5
Providence Generator : Common,net.morimekta.providence.generator.util,FakeFileManager,0,27,0,0,0,8,0,3,0,3
Providence Generator : Common,net.morimekta.providence.generator.util,FileManager,18,85,2,4,1,18,2,6,0,5
Providence Generator : Common,net.morimekta.providence.generator,GeneratorFactory,14,0,0,0,2,0,1,0,1,0
Providence Generator : Common,net.morimekta.providence.generator,GeneratorOptions,0,3,0,0,0,1,0,1,0,1
Providence Generator : Common,net.morimekta.providence.generator,GeneratorException,0,9,0,0,0,4,0,2,0,2
Providence Generator : Common,net.morimekta.providence.generator,Generator,1,9,0,0,1,4,1,2,1,2
Providence Generator : Common,net.morimekta.providence.generator.format.json,JsonGenerator,7,63,1,1,2,17,1,3,0,3
Providence Generator : Common,net.morimekta.providence.generator.format.json,JsonGeneratorFactory,16,0,0,0,6,0,5,0,5,0
