GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Providence Core : Servers,net.morimekta.providence.server,ProvidenceServlet,95,96,6,2,17,26,4,5,0,5
Providence Core : Servers,net.morimekta.providence.server,WrappedProcessor,0,20,0,0,0,6,0,3,0,3
Providence Core : Servers,net.morimekta.providence.server,DefaultProcessorHandler,194,32,3,1,32,12,2,3,0,3
