GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Providence Utils : Storage / Hazelcast,net.morimekta.providence.storage.hazelcast,HazelcastMessageListStorage,16,124,2,4,4,31,2,12,0,11
Providence Utils : Storage / Hazelcast,net.morimekta.providence.storage.hazelcast,HazelcastMessageStorage,16,124,1,5,4,31,1,13,0,11
Providence Utils : Storage / Hazelcast,net.morimekta.providence.storage.hazelcast,HazelcastMessageBuilderStorage,16,185,1,5,4,40,1,18,0,16
